# Source: handprint.com/HP/WCL/waterfs.html
# KEY TO THE PAINT RATINGS. Summarized as numbers: 
# Tr = Transparency: 0 (very opaque) to 4 (transparent) 
# St = Staining: 0 (nonstaining) to 4 (heavily staining) 
# VR = Value Range: the value of the masstone color subtracted from the value of white paper, in steps of a 100 step value scale
# Gr = Granulation: 0 (liquid texture) to 4 (granular)
# Bl = Blossom: 0 (no blossom) to 4 (strong blossom)
# Df = Diffusion: 0 (inert) to 4 (very active diffusion)
# HA = Hue Angle in degrees of the CIELAB a*b* plane
# HS = Hue Shift as the undertone hue angle minus the masstone hue angle, in degrees of the CIELAB a*b* plane - 
# Lf = Lightfastness: 1 (very fugitive) to 8 (very lightfast) for paint in tint,full strength (1998 test/2004 test)
# PIGMENT(C.I. NAME),PAINT(MARKETING NAME),MANUFACTURER,CODE,Tr,St,VR,Gr,Bl,Df,HA,HS,Lf
PV19,permanent magenta,Rowney Artists,409,3,3,60,0,2,4,1,-20,8/8
PV19,permanent red violet,Rembrandt,567,3,4,60,0,3,0,6,-12,8/8
PV19,quinacridone violet,Utrecht,004,3,3,58,0,2,0,356,-15,8/8
PV32,bordeaux,Daniel Smith,008,3,4,55,1,1,1,7,-9,6/7
PV42,quinacridone pink,Daniel Smith,013,3,4,55,1,2,1,16,-20,7/7
PV42,magenta,Schmincke,352,4,3,52,2,2,1,8,-8,6/7
PR3,blockx red [discontinued in 2008],Blockx,225,2,3,54,0,3,4,33,-3,3/6
PR9,permanent red deep [discontinued],Lukas,1097,2,3,46,0,3,4,33,-3,1/4
PR23,crimson lake,Holbein,210,2,3,57,0,2,2,26,-20,3/6
PR48,scarlet lake,Holbein,225,2,3,46,0,3,0,38,-13,1/6
PR83,alizarin crimson,Rembrandt,326,4,2,54,0,3,2,20,-5,2/6
PR83,alizarin crimson,M. Graham,010,4,4,55,0,1,4,26,-10,1/6
PR83,alizarin crimson,Daniel Smith,001,4,3,61,1,4,1,25,-10,1/6
PR83,alizarin crimson,Winsor & Newton,002,4,3,59,0,3,2,26,-13,1/5
PR83,alizarin crimson,Utrecht,147,4,3,48,0,2,2,22,-15,1/5
PR83,alizarin crimson,Rowney Artists,515,3,3,59,0,1,2,25,-8,1/4
PR83,carmine [hue],Holbein,211,4,2,47,0,3,2,22,-9,1/4
PR83,alizarin violet lake,Sennelier,940,4,2,55,1,4,3,337,-2,1/3
PR106,vermilion [discontinued],Blockx,320,0,4,43,1,4,1,35,+1,3/3
PR108,cadmium scarlet,Winsor & Newton,084,2,3,43,0,3,3,40,-3,8/8
PR108,cadmium red,Winsor & Newton,082,1,3,50,0,3,2,34,-2,8/8
PR108,cadmium red deep,Winsor & Newton,083,2,4,50,1,4,2,31,-2,8/8
PR108+PY53,vermilion hue [discontinued],Winsor & Newton,232,2,4,41,1,4,3,34,0,8/8
PR108,cadmium red light,M. Graham,050,1,4,48,1,3,1,32,0,8/8
PR108,cadmium red,M. Graham,040,0,4,53,1,2,3,26,0,8/8
PR108,cadmium red pale,Rowney Artists,506,0,4,45,1,3,1,34,0,8/8
PR108,cadmium red,Rowney Artists,501,0,4,49,1,3,1,31,0,8/8
PR108,cadmium red deep,Rowney Artists,502,0,4,59,1,3,1,25,0,8/8
PR108,cadmium scarlet,DaVinci,213,1,4,39,0,3,2,39,0,8/8
PR108,cadmium red medium,DaVinci,211,1,4,43,1,3,2,37,-4,8/8
PR108,cadmium red deep,DaVinci,210,1,4,51,1,2,1,29,-3,8/8
PR108:1,cadmium red scarlet [discontinued],Daniel Smith,006,0,4,42,0,1,1,37,-1,8/8
PR108:1,cadmium red [discontinued],Daniel Smith,082,1,4,49,1,2,2,31,0,8/8
PR108:1,cadmium red deep [discontinued],Daniel Smith,083,0,4,56,1,2,3,26,+1,8/8
PR108,vermilion [cadmium scarlet],Holbein,218,1,2,41,0,3,1,38,-4,8/8
PR108,cadmium red light,Holbein,214,0,2,47,1,3,1,35,-1,8/8
PR108,cadmium red deep,Holbein,215,0,3,51,1,2,1,32,-3,8/8
PR108,cadmium purple,Holbein,217,0,3,53,1,2,0,30,0,8/8
PR108,cadmium scarlet,Lukas,217,0,3,42,1,0,0,39,-3,8/8
PR108+PO20,cadmium red light,Rembrandt,303,1,4,45,1,3,1,37,+2,8/8
PR108,cadmium red medium,Rembrandt,314,1,4,48,1,3,1,33,0,8/8
PR108,cadmium red deep,Rembrandt,306,1,4,50,1,3,1,30,-2,8/8
PR108,cadmium red light,MaimeriBlu,226,1,4,44,1,1,2,37,-1,8/8
PR108,cadmium red deep,MaimeriBlu,232,0,3,54,1,2,1,27,-1,8/8
PR108,cadmium red light,Utrecht,143,2,3,43,0,1,2,36,+3,8/8
PR108,cadmium red,Utrecht,144,2,3,48,0,0,1,31,+3,8/8
PR108,cadmium red deep,Utrecht,144,2,3,59,0,0,1,25,+4,8/8
PR108,cadmium red,Blockx,323,0,4,52,1,3,1,29,-2,8/8
PR108,cadmium purple,Blockx,325,1,4,54,1,1,0,24,0,8/8
PR112,naphthol red,M. Graham,120,4,4,50,1,2,2,34,-10,7/8
PR112,permanent red,Holbein,021,1,4,51,0,3,3,36,-14,6/7
PR149,perylene scarlet,Daniel Smith,044,2,3,54,1,3,1,30,-5,6/6
PR168,permanent red light,MaimeriBlu,251,3,3,41,0,2,3,38,-7,7/7
PR168,old holland bright red,Old Holland,151,3,1,42,0,3,0,37,-6,7/6
PR170,permanent red,Daniel Smith,075,2,4,53,0,3,1,31,-8,6/7
PR170,carmine [hue],Rowney Artists,509,2,4,48,0,3,4,25,-12,5/7
PR170,permanent red deep,Daniel Smith,093,2,4,56,0,3,4,30,-15,4/6
PR170,dark red [crimson],Schmincke,345,2,3,52,0,1,2,24,-10,3/5
PR176,carmine [hue],Daniel Smith,094,3,4,58,0,3,0,27,-15,6/7
PR176+PR101,permanent crimson,Art Spectrum,W17,2,3,59,0,1,0,26,-12,7/8
PR177,anthraquinoid red,Daniel Smith,016,4,4,58,0,4,2,24,-10,7/7
PR177,permanent red deep,MaimeriBlu,253,4,3,56,0,2,3,22,-9,6/7
PR177,burgundy wine red,Old Holland,166,4,3,55,0,2,2,24,-11,3/6
PR178,perylene red,Daniel Smith,029,2,4,55,0,4,3,28,-6,7/8
PR178,scheveningen red medium,Old Holland,169,1,2,51,0,3,2,29,-5,6/7
PR179,perylene maroon,Winsor & Newton,227,4,4,59,0,3,0,27,+1,8/8
PR179,perylene maroon,Daniel Smith,002,3,4,64,0,3,2,27,-1,7/8
PR179,perylene maroon,Rowney Artists,421,4,4,59,0,3,0,27,+2,7/8
PR179,perylene red,Rowney Artists,529,4,4,66,0,3,0,22,-5,8/8
PR188,scarlet lake,Winsor & Newton,044,3,3,45,0,3,2,39,-7,7/7
PR188,organic vermilion,Daniel Smith,042,2,4,45,0,2,1,38,-7,6/7
PR188,permanent red,DaVinci,265,3,3,39,1,3,2,36,-4,6/7
PR188+PY65,bright red [discontinued],Winsor & Newton,042,3,4,39,0,1,0,42,+5,6/6
PR209,quinacridone red,M. Graham,155,4,3,43,0,3,2,29,-11,7/8
PR209,quinacridone red,Winsor & Newton,230,3,4,47,0,3,1,31,-14,7/8
PR209,tiziano red,MaimeriBlu,261,4,3,41,0,2,3,31,-13,7/8
PR209,quinacridone coral,Daniel Smith,092,3,3,41,0,4,2,31,-12,7/8
PR209,quinacridone red,Utrecht,002,3,2,42,0,1,0,21,-17,7/8
PR209,quinacridone red,Rowney Artists,528,3,3,48,0,4,2,30,-14,7/7
PR209,cherry red,Holbein,224,3,3,48,0,3,2,30,-17,7/7
PR214,scheveningen red deep,Old Holland,024,2,3,57,0,3,3,30,-11,6/7
PR216,brown madder [hue],Holbein,023,4,2,50,1,2,1,28,+1,2/5
PR242,french vermilion [hue],Sennelier,675,3,4,45,2,0,4,40,-8,8/8
PR251,permanent red (discontinued),Schmincke,361,2,3,50,0,1,1,36,0,8/8
PR254,winsor red,Winsor & Newton,056,2,4,49,0,4,1,32,-9,8/8
PR254,pyrrol red,Daniel Smith,005,1,4,54,1,3,4,32,-7,8/8
PR254,permanent red deep,Rembrandt,371,1,4,49,1,3,4,32,-8,8/8
PR254,sandal red,MaimeriBlu,263,2,3,49,0,3,4,32,-9,6/7
PR254+PO73,permanent red,Rowney Artists,371,1,4,51,1,3,4,38,-3,4/6
PR255,pyrrol scarlet,Daniel Smith,084,3,4,47,0,4,1,34,-2,8/8
PR255,vermilion hue,Rowney Artists,588,3,4,46,0,3,1,34,-3,8/8
PR255,permanent red medium,Rembrandt,377,1,4,52,1,3,4,34,-9,8/8
PR255,vermilion [hue],Schmincke,365,3,4,45,0,3,1,36,-3,8/8
PR260,vermilion [hue] extra,Old Holland,148,2,2,48,0,4,0,32,+5,8/8
PR264,pyrrol crimson,Daniel Smith,127,3,4,58,0,3,2,27,-9,6/7
PR264+PV19,carmine [hue],Rembrandt,318,2,2,61,0,3,3,22,+5,6/7
PR264+PV19,permanent madder purple,Rembrandt,325,3,3,45,0,3,2,24,+10,6/7
PR264+PR101,permanent madder brown,Rembrandt,324,2,4,49,0,2,2,29,+5,6/6
PV29,perylene violet,Winsor & Newton,470,3,3,70,1,2,3,30,-21,./.
PO5,permanent red light [discontinued],Lukas,1099,2,2,39,0,1,1,43,+8,3/6
PO20,cadmium orange,M. Graham,038,2,4,31,1,3,1,50,0,8/8
PO20,cadmium orange [discontinued],Daniel Smith,081,3,4,28,1,3,3,52,0,8/8
PO20,cadmium orange,MaimeriBlu,054,1,3,33,0,2,1,48,-2,8/8
PO20,cadmium orange,Utrecht,133,2,3,30,0,3,0,50,+3,8/8
PO20,cadmium orange,DaVinci,208,2,3,34,1,3,1,47,+7,8/8
PO20,cadmium yellow orange,Blockx,312,1,4,26,1,2,2,60,+9,8/8
PO20,cadmium red orange,Blockx,321,0,4,39,0,3,2,41,+4,8/8
PO20,cadmium orange light,Schmincke,227,2,4,23,0,2,1,63,+4,8/8
PO20,cadmium orange deep,Schmincke,228,1,4,29,1,3,1,53,+2,8/8
PO20,cadmium red orange,Schmincke,348,1,4,38,1,3,2,42,-1,8/8
PO20+PY35,cadmium orange,Rowney Artists,615,1,3,29,0,4,1,55,+6,7/8
PO20+PY35,cadmium orange,Rembrandt,211,1,4,29,1,3,2,54,+5,7/8
PO34,cinnebar red [hue] [discontinued],Lukas,1088,2,2,36,0,1,1,39,+5,2/5
PO36,permanent vermilion,Art Spectrum,W11,2,2,42,0,1,1,41,+5,8/8
PO43,perinone orange,Daniel Smith,014,2,4,40,0,3,2,42,0,7/6
PO43,orange lake,MaimeriBlu,125,2,3,34,0,2,3,46,-3,7/6
PO43,perinone orange,Utrecht,000,3,1,35,0,3,3,45,-1,7/6
PO62,permanent orange,Daniel Smith,212,3,3,29,0,3,4,50,+11,7/8
PO62,winsor orange,Winsor & Newton,212,2,4,26,0,3,3,55,+8,7/7
PO62,benzimida orange,DaVinci,204,2,4,26,0,2,2,55,+5,7/8
PO62,helio genuine orange,Lukas,1048,2,4,26,0,2,2,55,+5,7/8
PO62,permanent orange,MaimeriBlu,110,2,3,24,0,2,2,58,+5,6/7
PO67,coral orange,Old Holland,145,1,2,39,0,4,1,44,-1,6/6
PO69,scheveningen orange [discontinued],Old Holland,018,1,2,35,0,3,2,46,+9,3/7 
PO71,translucent orange,Schmincke,218,3,2,42,1,3,0,43,0,7/6
PO73,pyrrol orange,Daniel Smith,126,3,4,38,0,2,2,46,-8,7/8
PO73,winsor orange RS,Winsor & Newton,723,3,3,38,0,3,3,48,-9,7/8
PO73,warm orange,Rowney Artists,633,1,4,35,0,1,3,46,-9,7/8
PO73+PY154,permanent orange,Rembrandt,266,3,2,27,1,3,0,53,+10,5/6
PO73+PO62,brilliant orange,Holbein,247,1,4,34,0,1,3,48,-2,7/7
PR108,cadmium yellow orange,Holbein,244,2,3,25,0,2,2,64,+4,7/8
PR108,cadmium red orange,Holbein,216,1,3,36,1,2,2,44,-2,7/8
PR108,cadmium red orange,Sennelier,609,2,4,34,0,1,3,45,-3,7/8
PY35+PR108,cadmium orange,Winsor & Newton,089,1,3,30,0,4,1,56,+10,7/8
PBr6,van dyke brown [discontinued],M. Graham,194,0,4,74,2,2,1,43,+22,6/8
PBr6+PBk7,sepia,Daniel Smith,045,0,4,71,2,3,1,48,+16,8/8
PBr7,natural sienna,Daniel Smith,197,3,2,30,1,1,1,66,+10,8/5
PBr7,raw sienna,Utrecht,183,2,2,41,0,1,0,58,+8,8/8
PBr7,raw sienna,M. Graham,160,2,2,46,2,1,2,61,+12,8/8
PBr7,raw sienna,Daniel Smith,040,1,1,37,0,4,2,57,+10,8/8
PBr7,raw sienna,MaimeriBlu,161,3,3,40,1,2,3,59,+17,8/8
PBr7,raw sienna,DaVinci,273,1,2,33,1,1,2,64,+7,8/8
PBr7,italian earth,Old Holland,322,3,0,43,1,2,2,62,+11,8/8
PBr7,brown ochre,Winsor & Newton,059,3,2,34,0,2,2,58,+10,./.
PBr7,burnt sienna,M. Graham,020,1,2,57,1,2,3,40,+8,8/8
PBr7,monte amiata burnt sienna,Daniel Smith,198,2,3,59,0,3,2,37,+13,8/8
PBr7,italian burnt sienna,Daniel Smith,106,2,2,51,0,1,0,39,+9,8/8
PBr7,pompeii red,Daniel Smith,116,3,2,50,1,1,0,42,+13,8/8
PBr7,burnt sienna,Utrecht,184,2,2,57,0,3,1,39,+10,8/8
PBr7,burnt sienna,MaimeriBlu,278,2,3,53,1,3,1,41,+16,8/8
PBr7,burnt sienna,Rembrandt,411,2,3,50,1,3,1,47,+11,8/8
PBr7,burnt sienna,Daniel Smith,008,1,3,56,1,3,1,40,+10,8/8
PBr7,burnt sienna,DaVinci,205,2,3,55,2,2,2,43,+12,8/8
PBr7,burnt sienna,Holbein,334,3,2,50,1,4,2,46,+8,8/8
PBr7,burnt sienna light,Blockx,141,2,3,61,1,2,0,39,+11,8/8
PBr7,burnt sienna deep,Blockx,143,1,3,64,1,2,1,37,+12,8/8
PBr7,raw umber,Daniel Smith,041,2,3,66,1,3,1,59,+12,8/8
PBr7,raw umber,Winsor & Newton,554,3,2,47,3,1,2,64,+14,./.
PBr7,raw umber,M. Graham,170,3,3,62,0,2,1,64,+9,8/8
PBr7,german greenish raw umber,Daniel Smith,121,3,2,56,0,2,1,73,+9,8/8
PBr7,raw umber,MaimeriBlu,493,4,1,54,0,1,2,60,+13,8/6
PBr7,raw umber,Rowney Artists,247,3,2,57,1,1,1,64,+11,8/8
PBr7,raw umber,DaVinci,274,2,4,67,1,2,1,61,+6,8/8
PBr7,raw umber,Rembrandt,408,3,2,46,1,1,1,65,+6,8/8
PBr7,raw umber,Utrecht,187,3,2,62,1,1,1,57,+14,8/8
PBr7,burnt umber,Daniel Smith,009,1,3,66,0,3,3,44,+15,8/8
PBr7,burnt umber,M. Graham,030,4,3,54,1,3,1,49,+7,8/8
PBr7,burnt umber,MaimeriBlu,492,2,4,65,0,1,0,46,+19,8/8
PBr7,burnt umber,Rowney Artists,223,2,4,58,0,1,0,53,+9,8/8
PBr7,burnt umber,Rembrandt,409,2,4,58,0,1,0,46,+10,8/8
PBr7,burnt umber,Utrecht,188,3,3,66,1,3,1,42,+15,8/8
PBr7,burnt umber,DaVinci,206,2,2,62,2,3,4,48,+13,8/8
PBr7+PR101 +PY42,burnt umber,Winsor & Newton,009,3,4,57,0,1,1,50,+10,7/8
PBr7+PR209,dragon's blood,MaimeriBlu,270,3,4,48,1,4,3,36,+5,7/8
PBr7+PY42,raw umber [discontinued],Winsor & Newton,041,4,2,36,1,3,1,69,+7,7/8
PBr7+PV19,raw umber violet,Daniel Smith,090,2,4,65,0,3,2,23,+11,7/7
PBr7+PBk7,sepia,M. Graham,178,2,4,71,1,1,0,46,+18,8/8
PBr7+PBk7,warm sepia,Sennelier,440,2,4,62,0,3,0,55,+9,8/8
PBr7+PBk9,sepia,MaimeriBlu,486,2,3,61,1,3,1,70,+7,8/8
PBr7+PBk11 +PR101,warm sepia,Rowney Artists,486,2,3,69,1,3,1,51,+9,7/7
PBr11,lunar earth,Daniel Smith,019,1,1,48,2,1,2,49,+4,8/8
PBr24,naples yellow deep,Winsor & Newton,203,1,3,23,0,2,1,68,+7,8/8
PBr24,gold ochre,Schmincke,659,1,2,23,0,1,0,67,+8,8/8
PBr24+PW6,naples yellow [hue],Winsor & Newton,422,2,1,15,1,2,2,73,+9,./.
PBr25,permanent brown,Daniel Smith,032,4,4,58,1,2,2,39,0,8/8
PBr33,walnut brown,Schmincke,041,0,3,64,2,4,1,40,+15,8/8
PBr41,translucent brown,Schmincke,648,3,4,60,1,2,1,38,+6,7/8
NBr8,van dyke brown,Holbein,139,2,4,73,2,2,1,52,+14,5/6
PO48,quinacridone burnt orange,Daniel Smith,091,4,3,47,0,2,1,45,+9,7/8
PO49,quinacridone gold,Daniel Smith,096,4,3,38,2,4,3,61,+14,7/8
PO49,golden lake [discontinued],MaimeriBlu,128,4,2,38,2,2,3,59,+16,7/8
PO49,quinacridone gold [discontinued],Winsor & Newton,228,3,4,34,1,2,3,60,+15,7/8
PO49+PR209,quinacridone sienna [discontinued],Daniel Smith,095,4,4,45,0,3,2,40,+11,7/8
PO65,golden barok red,Old Holland,136,2,0,56,2,4,1,30,+13,7/8
PR101,mars red,Winsor & Newton,051,0,4,54,0,2,2,38,+2,8/8
PR101,venetian red,Daniel Smith,051,0,3,59,1,3,2,35,+1,8/8
PR101,italian venetian red,Daniel Smith,122,1,3,47,1,3,2,40,+5,8/8
PR101,venetian red,MaimeriBlu,262,0,4,59,0,2,2,35,+7,8/8
PR101,venetian red,Rowney Artists,583,0,4,58,0,2,2,36,+4,8/8
PR101,venetian red,Utrecht,005,1,3,60,0,3,2,28,-1,8/8
PR101,venetian red,DaVinci,288,0,4,62,1,2,2,32,+4,8/8
PR101,venetian red,Rembrandt,349,1,3,56,0,3,2,36,+2,8/8
PR101,english red,Rembrandt,339,1,3,53,0,3,2,38,+5,8/8
PR101,english red earth,Daniel Smith,137,2,2,54,2,3,2,38,+12,7/8
PR101,english red ochre,Daniel Smith,136,2,1,54,1,4,3,34,-1,7/8
PR101,light red,Rowney Artists,527,1,3,56,0,3,2,38,+5,8/8
PR101,indian red,Utrecht,006,3,3,45,0,3,1,34,+3,8/8
PR101,indian red,Daniel Smith,044,1,4,58,0,1,2,29,+2,8/8
PR101,indian red,Winsor & Newton,023,0,4,62,0,1,2,30,+3,8/8
PR101,indian red,Rowney Artists,523,0,4,61,0,1,2,38,-1,8/8
PR101,burnt sienna,Winsor & Newton,008,4,3,39,1,2,2,45,+13,7/8
PR101,burnt sienna,Rowney Artists,221,4,3,56,1,2,2,38,+14,7/8
PR101,transparent mars red,MaimeriBlu,250,3,2,48,2,1,2,42,+20,7/8
PR101,transparent oxide red,Rembrandt,378,1,3,47,0,3,2,41,+5,8/6
PR101,transparent red oxide,Daniel Smith,128,4,2,58,2,3,3,33,+15,8/8
PR101,transparent mars brown,MaimeriBlu,477,4,3,43,1,3,4,52,+10,7/7
PR101,transparent brown oxide,Daniel Smith,129,3,2,63,1,3,4,35,+18,8/8
PR101,mars brown,Old Holland,346,1,1,61,2,3,4,41,+7,7/7
PR101,mars violet,Winsor & Newton,215,0,4,66,2,4,2,27,+3,7/8
PR101,mars violet [discontinued],Daniel Smith,102,0,3,65,1,3,2,26,+7,7/8
PR101,mars violet,Rowney Artists,411,1,3,62,0,3,2,24,+6,7/8
PR101+PR264,indian red,Rembrandt,347,1,2,57,0,1,1,31,+2,7/7
PR101+PY42,light red [discontinued],Winsor & Newton,029,1,2,48,0,1,1,39,+8,7/7
PR101+PBr7,terre ercolano,Daniel Smith,117,3,2,46,1,1,1,42,+3,7/7
PR101+PG7,transparent oxide brown,Rembrandt,378,1,3,44,0,3,2,51,+5,7/7
PR101+PG36,brown stil de grain,MaimeriBlu,488,4,4,43,2,2,3,45,+8,7/7
PR101+PBk6,van dyke brown,Winsor & Newton,050,1,4,63,0,3,2,49,+11,7/8
PR101+PBk6,sepia,Winsor & Newton,045,2,4,72,0,1,0,59,+4,7/8
PR102,yellow ochre burnt,Old Holland,060,4,0,47,1,2,1,49,+10,8/8
PR102,yellow ochre half burnt,Old Holland,059,2,0,39,0,3,1,55,+11,8/6
PR175,deep scarlet,Daniel Smith,046,3,3,58,0,4,1,34,-5,8/8
PR206,quinacridone burnt scarlet,Daniel Smith,007,3,4,54,0,4,4,31,+2,7/8
PR206,brown madder [hue],Winsor & Newton,201,3,2,50,1,3,1,34,0,7/8
PR206,transparent red brown,Rowney Artists,261,3,2,54,1,3,1,32,+1,7/8
PR206,avignon orange,MaimeriBlu,053,3,3,55,0,3,4,30,+4,7/8
PR206+PR122 +PR254,crimson lake,MaimeriBlu,053,3,4,53,0,3,4,28,-2,7/7
PR233,potter's pink,Winsor & Newton,537,2,1,42,0,2,2,15,+3,./.
PY42,gold ochre,Winsor & Newton,059,2,3,39,0,2,2,56,+9,8/8
PY42,mars yellow,Daniel Smith,060,1,1,38,0,3,1,64,+7,8/8
PY42,yellow ochre,Rowney Artists,663,1,3,30,0,2,3,69,+7,8/8
PY42,yellow ochre,MaimeriBlu,131,1,3,38,0,2,3,68,+5,8/8
PY42,raw sienna,Lukas,1039,1,3,38,0,2,3,68,+5,8/8
PY42,burnt sienna,Lukas,1109,1,3,38,0,2,3,68,+5,8/8
PY42,transparent yellow oxide,Rembrandt,265,1,3,34,0,2,3,65,+9,8/6
PY42,transparent yellow oxide,Daniel Smith,121,4,1,43,1,3,2,61,+10,8/6
PY42,mars yellow,Old Holland,319,2,0,33,0,3,2,66,+9,8/8
PY42+PR101,raw sienna,Winsor & Newton,040,3,0,19,0,2,1,73,+8,8/8
PY42+PR101,raw sienna,Rowney Artists,667,3,0,45,0,2,1,63,+8,8/8
PY43,yellow ochre,Winsor & Newton,216,3,2,25,0,2,2,69,+10,8/8
PY43,yellow ochre light,Winsor & Newton,745,3,0,19,3,4,2,76,+5,./.
PY43,yellow ochre,Daniel Smith,059,2,1,29,1,2,2,66,+7,8/8
PY43,verona gold ochre,Daniel Smith,123,3,1,26,1,2,2,72,+7,8/8
PY43,french ochre,Daniel Smith,134,3,1,27,0,2,3,69,+5,8/8
PY43,italian deep ochre,Daniel Smith,135,4,1,37,0,2,2,55,+7,8/8
PY43,yellow ochre,Utrecht,181,2,1,25,0,1,0,69,+8,8/8
PY43,yellow ochre,M. Graham,200,1,3,36,1,2,1,68,+7,8/8
PY43,yellow ochre,DaVinci,292,1,1,32,1,2,0,66,+12,8/8
PY43,gold ochre,Rembrandt,231,1,3,38,1,2,1,59,+9,8/8
PY43,raw sienna,Rembrandt,234,1,3,26,1,2,1,66,+11,8/8
PY43,yellow ochre,Blockx,111,2,2,32,0,2,1,68,+6,8/8
PY43+PY42,yellow ochre,Rembrandt,227,1,3,31,1,2,1,68,+6,8/8
PY119,mars yellow,Holbein,328,0,1,45,1,2,2,55,+8,8/8
PY119,magnesium brown,Winsor & Newton,381,1,3,50,2,3,2,50,+3,8/8
PY1,blockx yellow [discontinued],Blockx,212,1,3,12,0,0,1,82,+5,6/5
PY1,genuine yellow light [discontinued],Lukas,1045,1,3,12,0,0,1,82,+5,4/6
PY3,hansa yellow light,DaVinci,242,2,3,4,0,3,2,97,+3,7/6
PY3,lemon yellow,Schmincke,215,2,3,6,0,2,2,95,+4,7/6
PY3,helio genuine yellow lemon,Lukas,1044,2,3,4,0,3,2,97,+3,7/6
PY3,lemon yellow,Sennelier,501,3,2,5,0,0,1,96,+2,6/7
PY3,hansa yellow light,Daniel Smith,070,3,4,7,0,3,2,94,+4,6/6
